date,temp,feels_like,pressure,humidity,wind_speed,wind_deg,avg_rain,avg_snow,clouds_all,total_rain,total_snow,temp_min,temp_max,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,weather_broken clouds,weather_few clouds,weather_fog,weather_haze,weather_heavy intensity rain,weather_heavy snow,weather_light intensity drizzle,weather_light rain,weather_light rain and snow,weather_light snow,weather_mist,weather_moderate rain,weather_overcast clouds,weather_scattered clouds,weather_sky is clear,weather_snow,weather_thunderstorm,weather_thunderstorm with heavy rain,weather_thunderstorm with light rain,weather_thunderstorm with rain,weather_very heavy rain
2014-10-12,58.32749999999999,57.1,1023.5833333333334,68.91666666666667,6.4262500000000005,60.833333333333336,0.0,0.0,75.0,0.0,0.0,46.29,53.33,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-10-13,63.52875,63.1575,1024.7916666666667,76.04166666666667,2.2520833333333337,65.41666666666667,0.7375,0.0,90.0,5.9,0.0,57.09,60.73,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2014-10-14,71.31041666666667,71.94041666666666,1020.25,79.0,7.432083333333334,92.08333333333333,0.0,0.0,75.83333333333333,0.0,0.0,60.69,64.35,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2014-10-15,73.80720000000001,74.52600000000001,1012.0,77.44,11.232000000000001,150.0,1.7381818181818183,0.0,84.2,19.12,0.0,64.35,67.75,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0
2014-10-16,63.15958333333333,62.98916666666667,1007.6666666666666,81.08333333333333,5.992083333333333,190.0,0.396,0.0,81.45833333333333,1.98,0.0,58.89,60.53,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2014-10-17,64.48041666666667,63.85875000000001,1008.1666666666666,68.79166666666667,6.952500000000001,203.75,0.5,0.0,38.666666666666664,0.5,0.0,51.69,56.93,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-10-18,64.19208333333333,63.157916666666665,1005.7083333333334,60.541666666666664,11.075833333333334,240.41666666666666,0.0,0.0,35.583333333333336,0.0,0.0,51.69,56.93,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-10-19,56.162083333333335,53.64125000000001,1015.2916666666666,46.0,12.946250000000001,309.1666666666667,0.0,0.0,52.291666666666664,0.0,0.0,49.73,51.75,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-10-20,55.854166666666664,54.19,1018.5416666666666,57.333333333333336,7.240000000000001,177.91666666666666,0.0,0.0,75.0,0.0,0.0,37.29,46.13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-10-21,60.98458333333334,59.8125,1012.0416666666666,64.45833333333333,4.9870833333333335,162.91666666666666,0.292,0.0,66.875,1.46,0.0,46.29,55.13,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-10-22,56.01,55.099583333333335,1013.1666666666666,80.625,12.754583333333334,332.0833333333333,1.074736842105263,0.0,90.0,20.419999999999998,0.0,52.79,55.13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2014-10-23,58.512499999999996,56.78875,1012.7083333333334,58.0,16.73875,319.1666666666667,0.0,0.0,80.41666666666667,0.0,0.0,51.69,53.71,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
